628,120,90;710,120,90;794,120,90;
626,120,90;708,120,90;792,120,90;
624,120,90;706,120,90;790,120,90;
622,120,90;704,120,90;788,120,90;
620,120,90;702,120,90;786,120,90;
618,120,90;700,120,90;784,120,90;
616,120,90;698,120,90;782,120,90;
614,120,90;696,120,90;780,120,90;
612,120,90;694,120,90;778,120,90;
610,120,90;692,120,90;776,120,90;
608,120,90;690,120,90;774,120,90;
606,120,90;688,120,90;772,120,90;
604,120,90;686,120,90;770,120,90;
602,120,90;684,120,90;768,120,90;
600,120,90;682,120,90;766,120,90;
598,120,90;680,120,90;764,120,90;
596,120,90;678,120,90;762,120,90;
594,120,90;676,120,90;760,120,90;
592,120,90;674,120,90;758,120,90;
590,120,90;672,120,90;756,120,90;
588,120,90;670,120,90;754,120,90;
586,120,90;668,120,90;752,120,90;
584,120,90;666,120,90;750,120,90;
582,120,90;664,120,90;748,120,90;
580,120,90;662,120,90;746,120,90;
578,120,90;660,120,90;744,120,90;
576,120,90;658,120,90;742,120,90;
574,120,90;656,120,90;740,120,90;
572,120,90;654,120,90;738,120,90;
570,120,90;652,120,90;736,120,90;
568,120,90;650,120,90;734,120,90;
566,120,90;648,120,90;732,120,90;
564,120,90;646,120,90;730,120,90;
562,120,90;644,120,90;728,120,90;
560,120,90;642,120,90;726,120,90;
558,120,90;640,120,90;724,120,90;
556,120,90;638,120,90;722,120,90;
554,120,90;636,120,90;720,120,90;
552,120,90;634,120,90;718,120,90;
550,120,90;632,120,90;716,120,90;
548,120,90;630,120,90;714,120,90;
546,120,90;628,120,90;712,120,90;
544,120,90;626,120,90;710,120,90;
542,120,90;624,120,90;708,120,90;
540,120,90;622,120,90;706,120,90;
538,120,90;620,120,90;704,120,90;
536,120,90;618,120,90;702,120,90;
534,120,90;616,120,90;700,120,90;
532,120,90;614,120,90;698,120,90;
530,120,90;612,120,90;696,120,90;
528,120,90;610,120,90;694,120,90;
526,120,90;608,120,90;692,120,90;
524,120,90;606,120,90;690,120,90;
522,120,90;604,120,90;688,120,90;
520,120,90;602,120,90;686,120,90;
518,120,90;600,120,90;684,120,90;
516,120,90;598,120,90;682,120,90;
514,120,90;596,120,90;680,120,90;
512,120,90;594,120,90;678,120,90;
510,120,90;592,120,90;676,120,90;
508,120,90;590,120,90;674,120,90;
506,120,90;588,120,90;672,120,90;
